label,case,toy,variant,group,run_count,complete_run_count,final_ceiling_hits,mean_time_to_ceiling,finite_pair_count,learned_abstention_rate_mean,learned_non_abstain_rate_mean,prototype_learned_sign_agreement_rate_mean,prototype_learned_sign_conflict_rate_mean,non_abstain_sign_agreement_rate_mean,non_abstain_sign_conflict_rate_mean,prototype_learned_advantage_correlation_mean,advantage_delta_abs_mean,learned_uncertainty_mean,aggregate_training_replay_min_selected_rate_mean,aggregate_training_replay_selected_rate_mean,aggregate_training_replay_weight_mean,aggregate_training_replay_weight_positive_rate_mean,aggregate_training_learned_credit_rate_mean
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_all_replay,diagnostic,3,3,3,9.333333333333334,15000,0.19873333333333335,0.8012666666666667,0.8060666666666667,0.19393333333333332,1.0,0.0,-0.19447567426357013,0.00247110558477521,0.03156552278862514,0.0,1.0,1.0,1.0,0.8012666666666668
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_confident_agreement_soft_min50_replay,diagnostic,3,3,3,9.333333333333334,15000,0.1962,0.8038,0.8083333333333332,0.19166666666666665,1.0,0.0,-0.1947875592037924,0.00246810271110395,0.03171234127594705,0.0,1.0,0.5416115234137279,1.0,0.8038
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,learned_candidate_context_weight_scorer_replay,nabm,3,3,3,9.333333333333334,15000,0.22793333333333332,0.7720666666666668,0.778,0.222,1.0,0.0,-0.265869683120745,0.0029636008476391254,0.032383112382402,0.0,1.0,0.7636313522716023,1.0,0.7720666666666666
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,linear_welfare_heavy,baseline,3,0,3,23.666666666666668,0,,,,,,,,,,,,,,
toy24_basin_learned_credit_weight_scorer_quick,toy2_basin_learned_credit_weight_scorer,toy2,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,3,0,3,9.333333333333334,0,,,,,,,,,,0.0,1.0,1.0,1.0,0.0
toy24_basin_learned_credit_weight_scorer_quick,toy4_basin_learned_credit_weight_scorer,toy4,learned_candidate_context_all_replay,diagnostic,3,3,3,11.666666666666666,15000,0.13353333333333334,0.8664666666666667,0.9782000000000001,0.0218,1.0,0.0,0.9820997995666684,0.00037969091469224514,0.014072503463790909,0.0,1.0,1.0,1.0,0.8664666666666667
toy24_basin_learned_credit_weight_scorer_quick,toy4_basin_learned_credit_weight_scorer,toy4,learned_candidate_context_confident_agreement_soft_min50_replay,diagnostic,3,3,3,11.666666666666666,15000,0.13326666666666667,0.8667333333333334,0.9782000000000001,0.0218,1.0,0.0,0.9809871308205551,0.00039108432950994346,0.013468653185823277,0.0,1.0,0.8006409704763956,1.0,0.8667333333333334
toy24_basin_learned_credit_weight_scorer_quick,toy4_basin_learned_credit_weight_scorer,toy4,learned_candidate_context_weight_scorer_replay,nabm,3,3,3,11.666666666666666,15000,0.1334,0.8666,0.9780000000000001,0.022000000000000002,1.0,0.0,0.9847060997875493,0.00038652439068413686,0.014133276610666552,0.0,1.0,0.9744766007146805,1.0,0.8666
toy24_basin_learned_credit_weight_scorer_quick,toy4_basin_learned_credit_weight_scorer,toy4,linear_welfare_heavy,baseline,3,0,1,21.0,0,,,,,,,,,,,,,,
toy24_basin_learned_credit_weight_scorer_quick,toy4_basin_learned_credit_weight_scorer,toy4,mixed_objective_basin_escalate_credit_p3_min2_h1_prototype,diagnostic,3,0,3,11.666666666666666,0,,,,,,,,,,0.0,1.0,1.0,1.0,0.0
