label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,ever_ceiling_final_miss,late_flip_count_after_first_ceiling,late_flip_rate_after_first_ceiling,terminal_window_size,terminal_window_ceiling_rate,terminal_window_mean_ceiling_metric,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,reputation_imitation,baseline,baseline,control,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,False,0.0,0.0,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_reputation_imitation_seed01.yaml,experiments/runs/20260520_115233_666503_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_reputation_imitation_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,reputation_imitation,baseline,baseline,control,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,3,False,0.0,0.0,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_reputation_imitation_seed02.yaml,experiments/runs/20260520_115234_225308_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_reputation_imitation_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,reputation_imitation,baseline,baseline,control,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,2,False,0.0,0.0,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_reputation_imitation_seed03.yaml,experiments/runs/20260520_115234_782979_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_reputation_imitation_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_mixed_objective_basin_w0p5_0p5_h1,diagnostic,baseline,control,1,final_mean_payoff,2.99,maximize,mean_payoff,3.0,0.001,2.99,0.009999999999999787,False,True,19,True,27.0,0.00870967741935484,5,0.8,2.998,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_mixed_objective_basin_w0p5_0p5_h1_seed01.yaml,experiments/runs/20260520_115235_392861_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_mixed_objective_basin_w0p5_0p5_h1_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_mixed_objective_basin_w0p5_0p5_h1,diagnostic,baseline,control,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,16,False,50.0,0.014705882352941176,5,0.8,2.998,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_mixed_objective_basin_w0p5_0p5_h1_seed02.yaml,experiments/runs/20260520_115248_391708_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_mixed_objective_basin_w0p5_0p5_h1_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_mixed_objective_basin_w0p5_0p5_h1,diagnostic,baseline,control,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,False,16.0,0.005925925925925926,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_mixed_objective_basin_w0p5_0p5_h1_seed03.yaml,experiments/runs/20260520_115300_672173_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_mixed_objective_basin_w0p5_0p5_h1_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_commitment_hysteresis,control,baseline,control,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,14,False,6.0,0.0016666666666666666,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_commitment_hysteresis_seed01.yaml,experiments/runs/20260520_115312_652992_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_commitment_hysteresis_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_commitment_hysteresis,control,baseline,control,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,14,False,0.0,0.0,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_commitment_hysteresis_seed02.yaml,experiments/runs/20260520_115324_349261_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_commitment_hysteresis_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_commitment_hysteresis,control,baseline,control,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,17,False,0.0,0.0,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_commitment_hysteresis_seed03.yaml,experiments/runs/20260520_115335_989455_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_commitment_hysteresis_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_terminal_argmax_k1,control,baseline,control,1,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,19,False,26.0,0.008387096774193548,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_terminal_argmax_k1_seed01.yaml,experiments/runs/20260520_115347_434113_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_terminal_argmax_k1_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_terminal_argmax_k1,control,baseline,control,2,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,16,False,50.0,0.014705882352941176,5,0.8,2.998,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_terminal_argmax_k1_seed02.yaml,experiments/runs/20260520_115359_080404_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_terminal_argmax_k1_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_revision_operator_controls_quick,toy2_revision_operator_controls,toy2,revision_operator_terminal_argmax_k1,control,baseline,control,3,final_mean_payoff,3.0,maximize,mean_payoff,3.0,0.001,3.0,0.0,True,True,23,False,16.0,0.005925925925925926,5,1.0,3.0,experiments/configs/generated/evidence_matrix/toy24_revision_operator_controls_quick/toy2_revision_operator_controls_revision_operator_terminal_argmax_k1_seed03.yaml,experiments/runs/20260520_115411_067101_toy24_revision_operator_controls_quick_toy2_revision_operator_controls_revision_operator_terminal_argmax_k1_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
