label,case,toy,variant,group,baseline_group,nabm_group,seed,primary_metric,metric_value,direction,ceiling_metric,ceiling_value,ceiling_tolerance,ceiling_metric_value,ceiling_gap,final_within_ceiling,ever_reached_ceiling,time_to_ceiling,ever_ceiling_final_miss,late_flip_count_after_first_ceiling,late_flip_rate_after_first_ceiling,terminal_window_size,terminal_window_ceiling_rate,terminal_window_mean_ceiling_metric,precommitment_first_ready_epoch,precommitment_all_ready_epoch,precommitment_first_forced_epoch,precommitment_ready_to_forced_delay_mean,precommitment_premature_exit_count,precommitment_high_policy_rate,precommitment_direction_score_mean,precommitment_direction_score_positive_rate,precommitment_direction_ok_rate,precommitment_ready_largest_component_fraction,precommitment_peer_evidence_enabled,precommitment_peer_evidence_weight,precommitment_peer_readiness_aggregation,precommitment_peer_readiness_mean,precommitment_peer_readiness_active_rate,precommitment_peer_evidence_increment_mean,config_path,run_dir,nabm_status,neural_role,social_channels,reference_policies
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,reputation_imitation_stag_hunt_p0p35,baseline,baseline,peer_evidence_domain_uncertainty_calibration,1,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,4,False,0.0,0.0,5,1.0,4.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_reputation_imitation_stag_hunt_p0p35_seed01.yaml,experiments/runs/20260521_102635_001924_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_reputation_imitation_stag_hunt_p0p35_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,reputation_imitation_stag_hunt_p0p35,baseline,baseline,peer_evidence_domain_uncertainty_calibration,2,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,4,False,0.0,0.0,5,1.0,4.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_reputation_imitation_stag_hunt_p0p35_seed02.yaml,experiments/runs/20260521_102635_791106_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_reputation_imitation_stag_hunt_p0p35_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,reputation_imitation_stag_hunt_p0p35,baseline,baseline,peer_evidence_domain_uncertainty_calibration,3,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,4,False,0.0,0.0,5,1.0,4.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_reputation_imitation_stag_hunt_p0p35_seed03.yaml,experiments/runs/20260521_102636_543702_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_reputation_imitation_stag_hunt_p0p35_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,objective_basin_stag_hunt_p0p35,diagnostic,baseline,peer_evidence_domain_uncertainty_calibration,1,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,17,False,14.0,0.0032558139534883722,5,1.0,4.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_objective_basin_stag_hunt_p0p35_seed01.yaml,experiments/runs/20260521_102637_289301_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_objective_basin_stag_hunt_p0p35_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,objective_basin_stag_hunt_p0p35,diagnostic,baseline,peer_evidence_domain_uncertainty_calibration,2,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,13,False,26.0,0.005531914893617021,5,0.8,3.9899999999999998,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_objective_basin_stag_hunt_p0p35_seed02.yaml,experiments/runs/20260521_102652_839855_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_objective_basin_stag_hunt_p0p35_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,objective_basin_stag_hunt_p0p35,diagnostic,baseline,peer_evidence_domain_uncertainty_calibration,3,final_mean_payoff,3.95,maximize,mean_payoff,4.0,0.001,3.95,0.04999999999999982,False,True,18,True,13.0,0.0030952380952380953,5,0.8,3.9899999999999998,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_objective_basin_stag_hunt_p0p35_seed03.yaml,experiments/runs/20260521_102708_060998_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_objective_basin_stag_hunt_p0p35_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,revision_objective_basin_stag_hunt_p0p35,diagnostic,baseline,peer_evidence_domain_uncertainty_calibration,1,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,16,False,14.0,0.0031818181818181815,5,0.8,3.9899999999999998,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_revision_objective_basin_stag_hunt_p0p35_seed01.yaml,experiments/runs/20260521_102723_046806_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_revision_objective_basin_stag_hunt_p0p35_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,revision_objective_basin_stag_hunt_p0p35,diagnostic,baseline,peer_evidence_domain_uncertainty_calibration,2,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,16,False,16.0,0.0036363636363636364,5,1.0,4.0,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_revision_objective_basin_stag_hunt_p0p35_seed02.yaml,experiments/runs/20260521_102737_994980_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_revision_objective_basin_stag_hunt_p0p35_seed02,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,revision_objective_basin_stag_hunt_p0p35,diagnostic,baseline,peer_evidence_domain_uncertainty_calibration,3,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,18,False,10.0,0.002380952380952381,5,0.8,3.9899999999999998,,,,,0,0.0,0.0,0.0,0.0,0.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_revision_objective_basin_stag_hunt_p0p35_seed03.yaml,experiments/runs/20260521_102753_187074_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_revision_objective_basin_stag_hunt_p0p35_seed03,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick,toy2_precommitment_peer_evidence_stag_hunt_calibration,toy2,revision_precommitment_evidence_stag_hunt_p0p35,diagnostic,baseline,peer_evidence_domain_uncertainty_calibration,1,final_mean_payoff,4.0,maximize,mean_payoff,4.0,0.001,4.0,0.0,True,True,11,False,4.0,0.0008163265306122449,5,1.0,4.0,5,16,5,2.7735849056603774,0,1.0,2.0,1.0,1.0,1.0,False,0.0,mean,0.0,0.0,0.0,experiments/configs/generated/evidence_matrix/toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick/toy2_precommitment_peer_evidence_stag_hunt_calibration_revision_precommitment_evidence_stag_hunt_p0p35_seed01.yaml,experiments/runs/20260521_102808_368017_toy24_precommitment_peer_evidence_domain_uncertainty_calibration_quick_toy2_precommitment_peer_evidence_stag_hunt_calibration_revision_precommitment_evidence_stag_hunt_p0p35_seed01,full,Neural policy local learning and social policy distillation are the primary path.,"action_probability, policy_distribution, reputation","rd_well_mixed, fermi_imitation, reputation_imitation"
