label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components,gate_label,condition
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.1,match_p0,0.1,sampled_policy_gradient,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153205_008298_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_sampled_pg_r0p1_a0p0_seed01,0.18,1.91,0.0773907825350761,12,0.03,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_sampled_policy_gradient
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.1,match_p0,0.1,sampled_policy_gradient,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153210_775852_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_sampled_pg_r0p1_a0p0_seed02,0.08,1.92,0.0806837975978851,8,0.01,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_sampled_policy_gradient
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.1,match_p0,0.1,sampled_policy_gradient,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153215_027520_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_sampled_pg_r0p1_a0p0_seed03,0.13,1.9,0.0750011950731277,11,0.02,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_sampled_policy_gradient
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.1,match_p0,0.1,counterfactual_advantage,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153219_138479_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_counterfactual_adv_r0p1_a0p0_seed01,0.01,1.99,0.0004598057712428,1,0.01,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_counterfactual_advantage
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.1,match_p0,0.1,counterfactual_advantage,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153230_769534_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_counterfactual_adv_r0p1_a0p0_seed02,0.01,1.99,0.0004499508067965,1,0.01,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_counterfactual_advantage
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.1,match_p0,0.1,counterfactual_advantage,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153241_487590_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p1_prior_match_p0_counterfactual_adv_r0p1_a0p0_seed03,0.01,1.99,0.0002738315088208,1,0.01,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_counterfactual_advantage
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.3,match_p0,0.3,sampled_policy_gradient,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153249_935451_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p3_prior_match_p0_sampled_pg_r0p1_a0p0_seed01,0.34,2.005,0.2522282302379608,12,0.09,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_sampled_policy_gradient
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.3,match_p0,0.3,sampled_policy_gradient,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153253_519463_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p3_prior_match_p0_sampled_pg_r0p1_a0p0_seed02,0.3,1.94,0.2604917883872986,15,0.06,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_sampled_policy_gradient
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.3,match_p0,0.3,sampled_policy_gradient,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153257_793748_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p3_prior_match_p0_sampled_pg_r0p1_a0p0_seed03,0.33,2.0,0.2449961155653,11,0.08,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_sampled_policy_gradient
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.3,match_p0,0.3,counterfactual_advantage,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153301_022339_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p3_prior_match_p0_counterfactual_adv_r0p1_a0p0_seed01,0.04,1.975,0.0094002513214945,3,0.02,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_counterfactual_advantage
toy2_stag_hunt_counterfactual_update_neural_seed01_03,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.3,match_p0,0.3,counterfactual_advantage,0.1,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_counterfactual_update_gate_seed01_03/runs/20260430_153311_194337_toy2_stag_hunt_counterfactual_update_neural_seed01_03_stag_hunt_neural_policy_none_p0p3_prior_match_p0_counterfactual_adv_r0p1_a0p0_seed02,0.03,1.97,0.0176456198096275,3,0.01,100,toy2_stag_hunt_counterfactual_update_gate_seed01_03,neural_match_p0_counterfactual_advantage
