label,regime,game_family,purpose,payoff_T,payoff_R,payoff_P,payoff_S,update_rule,mixer,peer_rule,seed,initial_cooperation_probability,policy_prior_mode,policy_prior_cooperation_probability,local_update_rule,neural_peer_mode,interaction_mode,revision_rate,alpha,selection_strength,policy_temperature,payoff_transform,exploration_epsilon,learning_enabled,run_dir,final_cooperation_rate,final_mean_payoff,final_mean_policy_cooperation,final_cooperation_components,final_largest_cooperation_cluster_fraction,final_fragmentation_components
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163801_122055_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_spatial_r0p25_a0p0_seed01,0.03,1.97,0.007330488413572311,3,0.01,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163804_562795_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_spatial_r0p25_a0p0_seed02,0.01,1.99,0.015772564336657524,1,0.01,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163807_738849_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_spatial_r0p25_a0p0_seed03,0.0,2.0,0.008048899471759796,0,0.0,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163814_806168_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_spatial_r0p25_a0p0_seed04,0.02,1.98,0.011957895942032337,2,0.01,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,spatial,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163826_483455_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_spatial_r0p25_a0p0_seed05,0.0,2.0,0.004626214504241943,0,0.0,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,1,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163836_292142_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_r0p25_a0p0_seed01,0.03,1.9725,0.0068329377099871635,3,0.01,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,2,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163846_506744_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_r0p25_a0p0_seed02,0.01,1.99,0.016237707808613777,1,0.01,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,3,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163856_901906_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_r0p25_a0p0_seed03,0.0,2.0,0.008260272443294525,0,0.0,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,4,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163907_619794_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_r0p25_a0p0_seed04,0.02,1.9825,0.011502482928335667,2,0.01,100
toy2_stag_hunt_well_mixed_interaction_gate_seed01_05,stag_hunt,stag_hunt,basin sensitivity,3.0,4.0,2.0,0.0,neural_policy,none,none,5,0.55,match_p0,0.55,counterfactual_advantage,well_mixed,well_mixed_resampled,0.25,0.0,1.0,1.0,linear,0.0,True,/tmp/toy2_stag_hunt_well_mixed_interaction_gate_seed01_05/runs/20260430_163918_169560_toy2_stag_hunt_well_mixed_interaction_gate_seed01_05_stag_hunt_neural_policy_none_p0p55_prior_match_p0_counterfactual_adv_peer_well_mixed_interaction_well_mixed_r0p25_a0p0_seed05,0.01,1.985,0.004610076081007719,1,0.01,100
